INFO 2026-07-01 15:08:26,825 middleware 48660 55616 GET /api/proposals/submissions/?page=1 200 0.007s [anonymous]
INFO 2026-07-01 15:08:36,388 middleware 48660 55616 POST /api/auth/login/ 200 1.430s [anonymous]
INFO 2026-07-01 15:08:36,403 middleware 48660 55616 GET /api/auth/profile/ 200 0.008s [anonymous]
INFO 2026-07-01 15:08:36,799 middleware 48660 55616 GET /api/proposals/submissions/?page=1 200 0.010s [anonymous]
INFO 2026-07-01 15:08:38,671 middleware 48660 55616 GET /api/grants/opportunities/?page=1 200 0.008s [anonymous]
INFO 2026-07-01 15:08:39,072 middleware 48660 2312 GET /api/budgets/financials/?page_size=1 200 0.010s [anonymous]
INFO 2026-07-01 15:08:39,087 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.030s [anonymous]
INFO 2026-07-01 15:08:39,088 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.028s [anonymous]
INFO 2026-07-01 15:08:39,089 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.025s [anonymous]
INFO 2026-07-01 15:08:39,104 middleware 48660 2312 GET /api/budgets/financials/?page_size=1 200 0.020s [anonymous]
INFO 2026-07-01 15:08:39,115 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:08:39,118 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:08:39,124 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.018s [anonymous]
INFO 2026-07-01 15:08:40,993 middleware 48660 40528 GET /api/grants/opportunities/?page=1 200 0.009s [anonymous]
INFO 2026-07-01 15:08:41,861 middleware 48660 40528 GET /api/proposals/submissions/?page=1 200 0.008s [anonymous]
INFO 2026-07-01 15:08:42,398 middleware 48660 40528 GET /api/budgets/financials/?page=1 200 0.008s [anonymous]
INFO 2026-07-01 15:08:42,412 middleware 48660 40528 GET /api/budgets/financials/?page=1 200 0.011s [anonymous]
INFO 2026-07-01 15:09:10,087 middleware 48660 40528 POST /api/auth/login/ 401 1.220s [anonymous]
INFO 2026-07-01 15:09:21,101 middleware 48660 40528 POST /api/auth/login/ 200 1.002s [anonymous]
INFO 2026-07-01 15:09:21,117 middleware 48660 40528 GET /api/auth/profile/ 200 0.009s [anonymous]
